Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
09:37:23,0,0,N/A,N/A,0,0,N/A,0,0,0
09:37:33,0,0,N/A,N/A,0,0,N/A,1,1,1
09:37:43,0,0,N/A,N/A,0,0,N/A,2,2,2
09:37:53,0,0,N/A,N/A,0,0,N/A,3,3,3
09:38:03,0,0,N/A,N/A,0,0,N/A,4,4,4
09:38:13,0,0,N/A,N/A,0,0,N/A,5,5,5
09:38:23,0,0,N/A,N/A,0,0,N/A,6,6,6
09:38:33,0,0,N/A,N/A,0,0,N/A,7,7,7
09:38:43,0,0,N/A,N/A,0,0,N/A,8,8,8
09:38:53,0,0,N/A,N/A,0,0,N/A,9,9,9
09:39:03,0,0,N/A,N/A,0,0,N/A,10,10,10
